value
AED
ANG
AUD
CHE
CHF
CHW
EUR
GBP
LKR
MAD
NGN
NIO
NOK
NZD
OMR
PAB
PEN
PGK
PHP
PKR
PLN
PYG
QAR
RON
RSD
RUB
RWF
SAR
SBD
SCR
SDG
SEK
SGD
SHP
SLL
SOS
SRD
SSP
STD
SYP
SZL
THB
TJS
TMT
TND
TOP
TRY
TTD
TWD
TZS
UAH
UGX
USD
USN
UYI
UYU
UZS
VEF
VND
VUV
WST
XAG
XAU
XBA
XBB
XBC
XBD
XCD
XOF
XPD
XPF
XPT
XSU
XTS
XXX
YER
ZAR
ZMW
ZWL
